RPM: 2049.25, SPEED: 6.0, RATIO: 341.5416666666667
RPM: 1378.25, SPEED: 5.0, RATIO: 0
RPM: 1351.0, SPEED: 5.0, RATIO: 0
RPM: 1060.0, SPEED: 3.0, RATIO: 0
RPM: 1056.5, SPEED: 0.0, RATIO: 0
RPM: 1037.5, SPEED: 0.0, RATIO: 0
RPM: 1014.0, SPEED: 0.0, RATIO: 0
RPM: 1001.5, SPEED: 0.0, RATIO: 0
RPM: 1008.5, SPEED: 0.0, RATIO: 0
RPM: 995.25, SPEED: 0.0, RATIO: 0
RPM: 993.5, SPEED: 0.0, RATIO: 0
RPM: 1005.5, SPEED: 0.0, RATIO: 0
RPM: 996.0, SPEED: 0.0, RATIO: 0
RPM: 964.0, SPEED: 0.0, RATIO: 0
RPM: 1467.0, SPEED: 0.0, RATIO: 0
RPM: 1422.75, SPEED: 1.0, RATIO: 0
RPM: 1274.5, SPEED: 2.0, RATIO: 0
RPM: 793.0, SPEED: 3.0, RATIO: 0
RPM: 1608.75, SPEED: 5.0, RATIO: 0
RPM: 1055.75, SPEED: 4.0, RATIO: 0
RPM: 1123.5, SPEED: 1.0, RATIO: 0
RPM: 1686.5, SPEED: 1.0, RATIO: 0
RPM: 1421.75, SPEED: 8.0, RATIO: 177.71875
RPM: 2283.0, SPEED: 15.0, RATIO: 152.2
